Urban Storage Function Model Solved by R-K-G Method

   k       rain       obsq       calq
 247 0.000000000 0.001300000 0.002026512
 248 0.000000000 0.001300000 0.002024532
 249 0.000000000 0.001300000 0.002022149
 250 0.000000000 0.001300000 0.002019380
 251 0.000000000 0.001300000 0.002016238
 252 0.000000000 0.001300000 0.002012740
 253 0.000000000 0.001300000 0.002008899
 254 0.000000000 0.001300000 0.002004730
 255 0.000000000 0.001300000 0.002000246
 256 0.000000000 0.001300000 0.001995463
 257 0.000000000 0.001300000 0.001990393
 258 0.000000000 0.001300000 0.001985051
 259 0.080000000 0.001300000 0.001980628
 260 0.000000000 0.001300000 0.001977077
 261 0.000000000 0.001300000 0.001973206
 262 0.000000000 0.001300000 0.001969029
 263 0.000000000 0.001300000 0.001964557
 264 0.000000000 0.001300000 0.001959806
 265 0.000000000 0.001300000 0.001954787
 266 0.000000000 0.001300000 0.001949513
 267 0.000000000 0.001300000 0.001943997
 268 0.000000000 0.001300000 0.001938251
 269 0.000000000 0.001300000 0.001932287
 270 0.000000000 0.001300000 0.001926116
 271 0.280000000 0.001300000 0.001923721
 272 0.000000000 0.001300000 0.001924928
 273 0.000000000 0.001300000 0.001925691
 274 0.000000000 0.001300000 0.001926022
 275 0.120000000 0.001300000 0.001927641
 276 0.000000000 0.001300000 0.001930496
 277 0.560000000 0.001300000 0.001940878
 278 0.000000000 0.001300000 0.001958625
 279 0.000000000 0.001300000 0.001975595
 280 0.320000000 0.001300000 0.001996538
 281 0.000000000 0.001300000 0.002021428
 282 0.000000000 0.001300000 0.002045445
 283 0.000000000 0.001300000 0.002068567
 284 0.000000000 0.001300000 0.002090773
 285 0.200000000 0.001300000 0.002115240
 286 0.280000000 0.001300000 0.002146498
 287 0.000000000 0.001300000 0.002181331
 288 0.000000000 0.001300000 0.002215119
 289 0.000000000 0.001300000 0.002247813
 290 0.520000000 0.001300000 0.002288475
 291 0.000000000 0.001300000 0.002337201
 292 0.000000000 0.001300000 0.002384775
 293 0.000000000 0.001300000 0.002431105
 294 0.000000000 0.001300000 0.002476103
 295 0.000000000 0.001300000 0.002519693
 296 0.000000000 0.001300000 0.002561803
 297 0.000000000 0.001300000 0.002602374
 298 0.000000000 0.001300000 0.002641351
 299 0.080000000 0.001300000 0.002680360
 300 0.400000000 0.001300000 0.002727863
 301 0.000000000 0.001300000 0.002782176
 302 0.000000000 0.001300000 0.002834654
 303 0.000000000 0.001300000 0.002885211
 304 0.120000000 0.001300000 0.002936527
 305 0.000000000 0.001300000 0.002988542
 306 0.320000000 0.001300000 0.003046033
 307 0.000000000 0.001300000 0.003108973
 308 0.000000000 0.001300000 0.003169579
 309 0.000000000 0.001300000 0.003227749
 310 0.000000000 0.001300000 0.003283396
 311 0.000000000 0.001300000 0.003336448
 312 0.000000000 0.001300000 0.003386845
 313 0.080000000 0.001300000 0.003436693
 314 0.000000000 0.001300000 0.003485933
 315 0.000000000 0.001400000 0.003532352
 316 0.280000000 0.001400000 0.003583759
