Urban Storage Function Model Solved by R-K-G Method

   k       rain       obsq       calq
 246 0.000000000 0.001300000 0.007287615
 247 0.000000000 0.001300000 0.007297111
 248 0.000000000 0.001300000 0.007303771
 249 0.000000000 0.001300000 0.007307783
 250 0.000000000 0.001300000 0.007309322
 251 0.000000000 0.001300000 0.007308556
 252 0.000000000 0.001300000 0.007305643
 253 0.000000000 0.001300000 0.007300730
 254 0.000000000 0.001300000 0.007293959
 255 0.000000000 0.001300000 0.007285461
 256 0.000000000 0.001300000 0.007275360
 257 0.000000000 0.001300000 0.007263774
 258 0.000000000 0.001300000 0.007250811
 259 0.080000000 0.001300000 0.007245726
 260 0.000000000 0.001300000 0.007247761
 261 0.000000000 0.001300000 0.007247492
 262 0.000000000 0.001300000 0.007245074
 263 0.000000000 0.001300000 0.007240657
 264 0.000000000 0.001300000 0.007234379
 265 0.000000000 0.001300000 0.007226372
 266 0.000000000 0.001300000 0.007216760
 267 0.000000000 0.001300000 0.007205661
 268 0.000000000 0.001300000 0.007193182
 269 0.000000000 0.001300000 0.007179427
 270 0.000000000 0.001300000 0.007164492
 271 0.280000000 0.001300000 0.007180298
 272 0.000000000 0.001300000 0.007224116
 273 0.000000000 0.001300000 0.007262932
 274 0.000000000 0.001300000 0.007297034
 275 0.120000000 0.001300000 0.007340521
 276 0.000000000 0.001300000 0.007392511
 277 0.560000000 0.001300000 0.007504087
 278 0.000000000 0.001300000 0.007671055
 279 0.000000000 0.001300000 0.007826038
 280 0.320000000 0.001300000 0.008008139
 281 0.000000000 0.001300000 0.008215542
 282 0.000000000 0.001300000 0.008408550
 283 0.000000000 0.001300000 0.008587581
 284 0.000000000 0.001300000 0.008753096
 285 0.200000000 0.001300000 0.008931328
 286 0.280000000 0.001300000 0.009157670
 287 0.000000000 0.001300000 0.009403838
 288 0.000000000 0.001300000 0.009632460
 289 0.000000000 0.001300000 0.009844045
 290 0.520000000 0.001300000 0.010110395
 291 0.000000000 0.001300000 0.010424835
 292 0.000000000 0.001300000 0.010712965
 293 0.000000000 0.001300000 0.010975868
 294 0.000000000 0.001300000 0.011214736
 295 0.000000000 0.001300000 0.011430836
 296 0.000000000 0.001300000 0.011625479
 297 0.000000000 0.001300000 0.011799993
 298 0.000000000 0.001300000 0.011955704
 299 0.080000000 0.001300000 0.012105922
 300 0.400000000 0.001300000 0.012310664
 301 0.000000000 0.001300000 0.012549880
 302 0.000000000 0.001300000 0.012760347
 303 0.000000000 0.001300000 0.012944039
 304 0.120000000 0.001300000 0.013121738
 305 0.000000000 0.001300000 0.013292624
 306 0.320000000 0.001300000 0.013489393
 307 0.000000000 0.001300000 0.013706702
 308 0.000000000 0.001300000 0.013892120
 309 0.000000000 0.001300000 0.014048154
 310 0.000000000 0.001300000 0.014177258
 311 0.000000000 0.001300000 0.014281805
 312 0.000000000 0.001300000 0.014364067
 313 0.080000000 0.001300000 0.014439431
 314 0.000000000 0.001300000 0.014507820
 315 0.000000000 0.001400000 0.014557015
 316 0.280000000 0.001400000 0.014635630
 317 0.000000000 0.001400000 0.014738105
 318 0.000000000 0.001400000 0.014816381
 319 0.000000000 0.001400000 0.014872866
 320 0.120000000 0.001400000 0.014930032
 321 0.120000000 0.001400000 0.015006987
 322 0.000000000 0.001400000 0.015080864
 323 0.080000000 0.001400000 0.015145779
 324 0.000000000 0.001400000 0.015201923
 325 0.000000000 0.001400000 0.015237019
 326 0.000000000 0.001400000 0.015253384
 327 0.000000000 0.001400000 0.015253174
 328 0.000000000 0.001400000 0.015238385
 329 0.000000000 0.001400000 0.015210855
 330 0.000000000 0.001500000 0.015172271
 331 0.320000000 0.001500000 0.015178505
 332 0.000000000 0.001500000 0.015221883
